,BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
698,3, J. P. Nagar,12.911,77.575,1800,300000,30000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-j.-p.-nagar-bangalore-for-rs-30000/8a9f998276c5a8950176c79c8f4d0c07/detail
701,2, Electronic City,12.841,77.649,919,150000,18000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-18000/8a9f82af755597cf017559019c1a1e16/detail
702,3, Mahadevapura,12.992,77.679,1300,100000,16000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-16000/ff80818151a956430151aa60c8ff10bb/detail
703,3, Kadubeesanahalli,12.934,77.702,1750,200000,30000,Semi Furnished,1-3 years ,All,01-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kadubeesanahalli-bangalore-for-rs-30000/8a9f8b437028a0aa017028ab42e60770/detail
705,3, Yeshwanthpur,13.037,77.533,1695,320000,40000,Full Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-yeshwanthpur-bangalore-for-rs-40000/8a9f910c73b90ff10173b95091731f71/detail
707,2, Jalahalli West,13.062,77.507,1325,160000,22000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-jalahalli-west-bangalore-for-rs-22000/8a9f9d8476ce780d0176ce97f3d5119f/detail
709,2, Whitefield,12.978,77.757,1145,70000,20000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-20000/ff808181675091ad0167515497302931/detail
711,1, Marathahalli,12.966,77.703,400,50000,9000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-chinnapanahalli-dodda-nekkundi-extension-marathahalli-bangalore-for-rs-9000/8a9f922c7636e1a9017636efe6270529/detail
712,1, Marathahalli,12.948,77.705,350,25000,6500,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in--marathahalli-bangalore-for-rs-6500/ff8081815890a6c101589bd6d3b74296/detail
714,2, Hoodi,12.991,77.717,1195,120000,21000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hoodi-bangalore-for-rs-21000/8a9f822e7604a125017604e93d3012b7/detail
715,2, Harlur,12.899,77.667,1053,150000,23000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-harlur-bangalore-for-rs-23000/ff8081815cc3ed8e015cc4526601167d/detail
716,3, Kalyan Nagar,13.03,77.635,1860,250000,33000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kalyan-nagar-bangalore-for-rs-33000/8a9f9392765f6c4401765fb3b69810b5/detail
720,2, Choodasandra,12.881,77.679,1300,100000,20000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-choodasandra-bangalore-for-rs-20000/ff8081816daf0e5b016db3feec5847bf/detail
723,3, Kasavanahalli,12.909,77.677,1585,200000,25000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kasavanahalli-bangalore-for-rs-25000/ff808181691fbdc4016922a0a1546436/detail
725,2, Kaikondrahalli,12.916,77.676,1250,100000,19000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kaikondrahalli-bangalore-for-rs-19000/ff80818157b1f6330157b6da5b7f492a/detail
726,3, Krishnarajapura,13.018,77.702,1400,100000,16500,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-krishnarajapura-bangalore-for-rs-16500/8a9f936c7318338601731a57b3ca0349/detail
727,2, Arekere,12.881,77.614,1127,125000,18500,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-arekere-bangalore-for-rs-18500/ff80818158a19a020158a414f1170c57/detail
729,3, Hulimavu,12.875,77.594,1400,150000,20000,Semi Furnished,5-10 years ,Family,01-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-hulimavu-bangalore-for-rs-20000/ff80818169603929016961226be73c7d/detail
730,3, Whitefield,12.985,77.727,1865,200000,35000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-35000/8a9f9e8276e176840176e1bcb63f16a7/detail
731,2, Krishnarajapura,13.014,77.695,1150,54000,18500,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-krishnarajapura-bangalore-for-rs-18500/8a9f93fb73d185320173d34063896a61/detail
732,2, Mahadevapura,12.994,77.667,1100,100000,18000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-pai-layout-mahadevapura-bangalore-for-rs-18000/ff808181599713b20159a10acb185c39/detail
733,2, Hsr Layout,12.912,77.647,1100,160000,25000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-25000/ff80818164a838140164a855e913145c/detail
734,2, Hebbal Kempapura,13.049,77.598,1250,60000,12000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hebbal-kempapura-bangalore-for-rs-12000/8a9fc482767a7f8c01767aa339400fbc/detail
735,2, Krishnarajapura,13.002,77.715,820,50000,10000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-ayyappa-nagar-krishnarajapura-bangalore-for-rs-10000/8a9f92727568e1000175697795c4507c/detail
736,1, Nagavara,13.039,77.618,600,60000,8200,UnFurnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-nagavara-bangalore-for-rs-8200/8a9f828871f60b800171f798442d130c/detail
737,3, Bellandur,12.925,77.667,1730,150000,31000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-31000/ff8081815721db770157222ad5a10658/detail
738,3, Bellandur,12.946,77.675,1570,200000,27000,Semi Furnished,5-10 years ,Family,28-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-27000/ff808181581e52e701581fba19bc1506/detail
739,1, Jp Nagar,12.9,77.586,400,30000,8000,UnFurnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-jp-nagar-bangalore-for-rs-8000/ff8081815d3148b5015d31783e8c1a7d/detail
741,3, Koramangala,12.945,77.625,1400,350000,35000,Full Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-35000/8a9f8af3724589e0017246ea23497cb4/detail
743,1, Marathahalli,12.97,77.703,750,45000,12000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-12000/ff8081816ec159f3016ec5c06ed42d9d/detail
744,2, Whitefield,12.967,77.736,1225,120000,19500,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-19500/ff80818161a20b1f0161a236daf31fac/detail
745,2, New Tippasandra,12.97,77.655,1150,100000,18000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-new-tippasandra-bangalore-for-rs-18000/ff8081816f244153016f270cc93a340c/detail
749,3, Mahadevapura,12.987,77.705,1350,150000,21000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-21000/ff8081815cb0dc50015cb42606c4469c/detail
750,2, New Tippasandra,12.974,77.65,1125,80000,20000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-new-tippasandra-bangalore-for-rs-20000/8a9f94a576999d15017699a0f6a900b3/detail
751,1, Btm Layout,12.924,77.611,560,55000,16500,Full Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-btm-layout-bangalore-for-rs-16500/8a9f92e1742b1dd401742ee6e2da7bbc/detail
753,2, Munnekollal,12.956,77.716,1100,100000,22000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-munnekollal-bangalore-for-rs-22000/8a9f999d76880211017688a12fbc0e89/detail
756,2, Nagarbhavi,12.96,77.511,1000,130000,13000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-nagarbhavi-bangalore-for-rs-13000/ff80818163cb5ff80163cdf1a02a5084/detail
757,2, Kadugodi,12.997,77.76,1034,100000,18000,Semi Furnished,3-5 years ,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kadugodi-bangalore-for-rs-18000/8a9fb1b376adf6790176ae8450942c93/detail
759,3, Brookefield,12.973,77.713,2045,200000,38000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-brookefield-bangalore-for-rs-38000/8a9fc582768426a50176847668741c11/detail
761,3, Indiranagar,12.973,77.641,1200,150000,31500,Full Furnished,5-10 years ,All,14-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-31500/8a9f924e746dea0201746e08c68a10a3/detail
762,2, Whitefield,12.964,77.756,1100,132000,22000,Full Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-22000/ff808181674a59de01674b24af5d0724/detail
763,3, Mahadevapura,12.993,77.699,1790,200000,40000,Full Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-40000/ff80818169cd078c0169cd61a287429c/detail
764,3, Btm 2nd Stage,12.912,77.608,1500,180000,29000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-btm-2nd-stage-bangalore-for-rs-29000/8a9f94c276c5a78a0176c653ecea0cd7/detail
765,4, Nagarbhavi,12.961,77.519,2200,280000,28000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-nagarbhavi-bangalore-for-rs-28000/8a9f92af7575aa8a01757805f5c752ae/detail
767,2, Whitefield,12.972,77.743,1064,150000,28000,Semi Furnished,Under Construction,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-28000/8a9f82e775c51c910175c52fe42902da/detail
768,2, Electronic City,12.835,77.691,1350,300000,30000,Full Furnished,1-3 years ,Family,25-Mar-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-30000/8a9f998276bb5be00176bc7178601b01/detail
769,2, Kasavanahalli,12.903,77.675,1315,125000,25000,Semi Furnished,5-10 years ,All,05-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kasavanahalli-bangalore-for-rs-25000/ff8081816c8fe952016c9416097e5e8a/detail
770,3, Kaggadasapura,12.983,77.681,1352,100000,27000,Full Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kaggadasapura-bangalore-for-rs-27000/8a9f911e74f1e0620174f6cd5e2d01a1/detail
771,2, Varthur,12.941,77.751,1000,100000,15000,Semi Furnished,3-5 years ,All,29-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-varthur-bangalore-for-rs-15000/8a9f8606703dc31501703eab2d2265d8/detail
772,3, Akshayanagar,12.874,77.619,1690,150000,30000,Semi Furnished,3-5 years ,All,14-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-akshayanagar-bangalore-for-rs-30000/ff80818154536dea01545713cb752547/detail
773,2, Koramangala,12.933,77.635,900,45000,15000,Semi Furnished,>10 years ,All,17-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-15000/ff808181633a594101633b3b536804a9/detail
775,3, Kaggadasapura,12.979,77.676,1968,150000,25000,Semi Furnished,>10 years ,Family,14-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kaggadasapura-bangalore-for-rs-25000/8a9f916576363943017636acb3dd26a6/detail
777,3, Hennur Gardens,13.04,77.642,1300,100000,20000,Semi Furnished,5-10 years ,All,14-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-hennur-gardens-bangalore-for-rs-20000/ff8081814e5cc5af014e6d133ed909f6/detail
778,3, Whitefield,12.98,77.735,1450,200000,30000,Semi Furnished,3-5 years ,All,14-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-30000/8a9f912f7480f4070174818760c24201/detail
779,2, Whitefield,12.98,77.734,1255,150000,26500,Semi Furnished,3-5 years ,All,14-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-26500/8a9f913f74865e85017486664f1403a5/detail
782,2, Hsr Layout,12.903,77.644,946,200000,23000,Semi Furnished,5-10 years ,All,14-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-23000/8a9f91937612d48201761367f3833468/detail
783,3, Rk Hegde Nagar,13.081,77.625,1241,100000,20000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-rk-hegde-nagar-bangalore-for-rs-20000/ff808181680e633501680f59a9d365c1/detail
785,2, Bellandur,12.932,77.679,1299,150000,32000,Semi Furnished,1-3 years ,Family,14-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-32000/8a9f91ee7651e7630176523752661603/detail
786,3, J. P. Nagar,12.905,77.574,1570,300000,35000,Full Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-j.-p.-nagar-bangalore-for-rs-35000/ff808181629ad0f80162a3591e100df9/detail
787,2, Marathahalli,12.955,77.703,1278,150000,21000,Semi Furnished,5-10 years ,Family,14-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-21000/ff8081815e349bfb015e37af642224fe/detail
790,2, Brookefield,12.966,77.724,1047,250000,33000,Semi Furnished,1-3 years ,Family,14-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-brookefield-bangalore-for-rs-33000/8a9f932a751cdb6401751e0aa3f47247/detail
793,2, J. P. Nagar,12.904,77.579,600,80000,10000,Semi Furnished,1-3 years ,All,16-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-j.-p.-nagar-bangalore-for-rs-10000/8a9f935e738545eb01738948ee0a685e/detail
794,3, Konanakunte,12.887,77.561,1580,150000,35000,Semi Furnished,Newly Constructed,All,14-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-konanakunte-bangalore-for-rs-35000/8a9f922673ed7a460173f03a8e585ab0/detail
796,3, Kasavanahalli,12.903,77.675,1609,100000,24000,Semi Furnished,>10 years ,All,14-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kasavanahalli-bangalore-for-rs-24000/8a9f915d750cdded01750d94486d5444/detail
797,2, Krishnarajapura,12.994,77.729,1297,350000,36000,Full Furnished,5-10 years ,All,14-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-krishnarajapura-bangalore-for-rs-36000/ff8081816975c044016975edc11b1aa1/detail
798,3, Bellandur,12.929,77.669,1715,200000,32000,Semi Furnished,5-10 years ,All,14-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-32000/8a9f93b8748b82f801748c7f71c3016b/detail
799,2, Hsr Layout,12.901,77.644,1162,90000,26000,Semi Furnished,5-10 years ,All,26-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-26000/8a9fa08676a786830176a7e21a311749/detail
800,3, Bommanahalli,12.912,77.623,1450,150000,25000,Full Furnished,>10 years ,All,14-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bommanahalli-bangalore-for-rs-25000/ff808181525888470152594145f90e5e/detail
801,2, Yelahanka,13.117,77.635,900,80000,12000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-yelahanka-bangalore-for-rs-12000/8a9fc182767fa4e801767fb71b5005f5/detail
803,2, Electronic City,12.855,77.659,700,40000,10000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-10000/8a9f92c5761e817401761ec0ada41384/detail
804,3, Whitefield,12.979,77.713,1460,100000,30000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-30000/8a9f916d7448db6501744d97a9197cdc/detail
805,3, Whitefield,12.958,77.739,1610,150000,38000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-38000/8a9f9193738df1fe01738e2983cb051b/detail
807,2, Rt Nagar,13.013,77.594,800,150000,13000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rt-nagar-bangalore-for-rs-13000/8a9f91ed7621a019017621ce66820acb/detail
808,2, Doddanekkundi,12.969,77.694,900,125000,16500,Semi Furnished,>10 years ,All,14-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-doddanekkundi-bangalore-for-rs-16500/ff80818155f3f846015600b433be697d/detail
809,3, Hoodi,12.992,77.714,1610,125000,23000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-hoodi-bangalore-for-rs-23000/8a9f9219752736430175289e346474a0/detail
810,3, Whitefield,12.97,77.733,1585,250000,38000,Full Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-nallurhalli-whitefield-bangalore-for-rs-38000/8a9f92bb75802f01017582e903c638b2/detail
813,2, Rt Nagar,13.024,77.598,1400,100000,16000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rt-nagar-bangalore-for-rs-16000/8a9f922f7637831f017637fe53392a2e/detail
814,2, Hebbal,13.037,77.598,850,130000,14000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hebbal-bangalore-for-rs-14000/8a9f91eb75a2786e0175a6abd5e52735/detail
815,2, Electronic City,12.821,77.658,940,120000,19000,Full Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-19000/8a9fac8376d684cf0176d7167bda569d/detail
817,2, Bhoganhalli,12.931,77.695,1270,200000,28000,Semi Furnished,3-5 years ,Family,14-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bhoganhalli-bangalore-for-rs-28000/8a9f939a7602b9ce01760338866521cd/detail
818,1, Parappana Agrahara,12.878,77.671,700,100000,18000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-parappana-agrahara-bangalore-for-rs-18000/8a9fb18b76804a6d01768055ccb00357/detail
820,3, Bilekahalli,12.902,77.609,1575,150000,25000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bilekahalli-bangalore-for-rs-25000/ff8081816c4c034a016c4d49346b4b9e/detail
821,2, Rr Nagar,12.901,77.52,920,140000,14000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rr-nagar-bangalore-for-rs-14000/8a9f91b474d3b3160174d469612a6f07/detail
822,2, Whitefield,12.982,77.747,1445,100000,16000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-16000/ff80818167721502016772b711fe4a0d/detail
823,3, Marathahalli,12.955,77.709,1500,150000,32000,Full Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-32000/ff8081815d208c18015d253ede281c16/detail
824,2, Mahadevapura,12.984,77.689,1155,100000,27000,Full Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-27000/8a9f915d75151e5d01751b8fd4ba010d/detail
825,2, Vidyaranyapura,13.081,77.556,850,125000,12500,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-vidyaranyapura-bangalore-for-rs-12500/ff8081816e4f681f016e55428fd83b84/detail
827,3, Banashankari,12.937,77.561,1400,280000,28000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-ashok-nagar-banashankari-stage-i-banashankari-bangalore-for-rs-28000/8a9f9a8276e0d1d30176e0f983440e69/detail
828,1, Hsr Layout,12.911,77.632,450,50000,12000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-12000/8a9f92f275934d4b017593fab6155131/detail
833,2, Marathahalli,12.952,77.7,1216,70000,19000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-19000/ff80818162e6a4b60162eb8f778f63b0/detail
834,2, Whitefield,12.97,77.755,1150,65000,20500,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-gandhipuram-whitefield-bangalore-for-rs-20500/ff808181534226750153452a9a1d0f74/detail
835,2, Singasandra,12.876,77.639,1260,125000,20000,Full Furnished,5-10 years ,Family,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-singasandra-bangalore-for-rs-20000/8a9f9331761a228801761a25e29e007d/detail
836,1, Koramangala,12.937,77.627,500,160000,16500,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-16500/ff8081814fad0299014fafebf2510add/detail
838,3, Bellandur,12.923,77.673,1250,150000,27500,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-27500/ff80818154a15aef0154a3a31d920e65/detail
839,3, Ejipura,12.937,77.63,1750,150000,40000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-ejipura-bangalore-for-rs-40000/ff80818166a137db0166a13ac0ce0148/detail
842,1, Krishnarajapura,13.014,77.725,550,50000,9000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-krishnarajapura-bangalore-for-rs-9000/8a9f9215759e2b9001759e3dd87d045f/detail
844,2, Munnekollal,12.959,77.714,1103,80000,18000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-munnekollal-bangalore-for-rs-18000/8a9f9184763d4e7501763da6add62898/detail
845,2, Kaggadasapura,12.967,77.67,900,100000,16000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-lbs-nagar-kaggadasapura-bangalore-for-rs-16000/8a9f8bec70bf78b40170bf8385f1046b/detail
846,2, Whitefield,12.983,77.718,1181,120000,21500,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-21500/ff8081815d304406015d30e3bcfe4aba/detail
848,2, Hbr Layout,13.039,77.637,1150,100000,18000,Semi Furnished,5-10 years ,Family,17-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hbr-layout-bangalore-for-rs-18000/ff80818166009e0a016606def0ce0308/detail
849,3, Banaswadi,13.011,77.646,1500,300000,30000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-banaswadi-bangalore-for-rs-30000/8a9f8c0c70e2f6090170e313f0890e79/detail
850,2, Marathahalli,12.95,77.702,1200,45000,15000,Semi Furnished,3-5 years ,All,15-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-15000/8a9f93ca740f71be01740fc62d9128da/detail
851,3, Brookefield,12.969,77.716,1400,200000,28000,Semi Furnished,>10 years ,All,16-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-brookefield-bangalore-for-rs-28000/ff8081815b47ce94015b483cd452317a/detail
852,2, Horamavu,13.035,77.657,1200,100000,18000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-horamavu-bangalore-for-rs-18000/8a9fb1c076ccb9180176cd6669b54447/detail
856,2, Hennur Gardens,13.028,77.651,1150,150000,19000,Semi Furnished,3-5 years ,Family,14-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hennur-gardens-bangalore-for-rs-19000/ff808181695d1c2401695f49d53e646d/detail
858,2, Vijaya Nagar,12.967,77.54,700,175000,18500,Semi Furnished,1-3 years ,Family,15-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-vijaya-nagar-bangalore-for-rs-18500/ff80818166709ee4016672433dad0e13/detail
860,1, C V Raman Nagar,12.984,77.658,700,60000,12600,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-c-v-raman-nagar-bangalore-for-rs-12600/ff8081816d68e4c4016d6c595ad64c15/detail
861,4, Panathur,12.934,77.706,1800,450000,43000,Semi Furnished,Newly Constructed,All,19-Jan-2021,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-panathur-bangalore-for-rs-43000/ff8081815f042103015f042e2ad400a0/detail
862,3, Munnekollal,12.955,77.71,1750,200000,33000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-munnekollal-bangalore-for-rs-33000/8a9f92d772d59cec0172dc1dd5a55ad2/detail
863,2, Bellandur,12.927,77.686,1160,100000,20500,Semi Furnished,5-10 years ,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-20500/ff80818157e227910157e77382321beb/detail
