,BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
8332,2, Electronic City,12.84,77.647,1100,50000,15000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-electronic-city-bangalore-for-rs-15000/ff808181621a154501621a93933942c8/detail
8333,2, Whitefield,12.982,77.711,1174,300000,30000,Semi Furnished,Newly Constructed,Company,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-30000/8a9f92ac75ce15d00175cf71f5742f53/detail
8334,1, Jp Nagar,12.881,77.573,760,95000,9500,Semi Furnished,Under Construction,Family,20-Jan-2021,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-jp-nagar-bangalore-for-rs-9500/ff8081816957e80101695c742e277acf/detail
8336,2, Vidyaranyapura,13.084,77.555,750,60000,9600,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-vidyaranyapura-bangalore-for-rs-9600/ff8081816bfeefb5016bff4ac781656f/detail
8338,2, Murgesh Pallya,12.959,77.657,1100,40000,12000,Semi Furnished,>10 years ,Bachelors,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-murgesh-pallya-bangalore-for-rs-12000/ff8081815acbdf0c015acc68667b431a/detail
8339,3, Whitefield,12.947,77.718,1765,150000,26000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-26000/ff8081816b4030f5016b4041ed600e3b/detail
8340,2, Jp Nagar,12.867,77.573,1170,120000,16000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-jp-nagar-9th-phase-jp-nagar-bangalore-for-rs-16000/ff80818155c99ca90155ca132c8514a0/detail
8341,1, Whitefield,12.985,77.749,850,100000,14000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-14000/ff808181644f763e016450d3e5380a5f/detail
8343,2, Kadubeesanahalli,12.934,77.701,813,60000,16500,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kadubeesanahalli-bangalore-for-rs-16500/8a9f93fb758d911601758e1e13284c15/detail
8344,1, Krishnarajapura,13.037,77.689,600,75000,10000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-krishnarajapura-bangalore-for-rs-10000/ff80818166709ee4016672d02aca6b8c/detail
8345,1, Kadubeesanahalli,12.934,77.701,563,60000,12500,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-kadubeesanahalli-bangalore-for-rs-12500/8a9f8cd370a43b970170a5f0111b507a/detail
