BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
3, Bhoganhalli,12.929,77.704,1300,150000,25000,Semi Furnished,1-3 years ,Family,15-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bhoganhalli-bangalore-for-rs-25000/8a9fa38276ad528d0176ad66f87f0748/detail
3, Mangammanapalya,12.901,77.635,1400,170000,17000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-mangammanapalya-bangalore-for-rs-17000/8a9f80f772845d37017292d0163d7786/detail
3, Hosapalya,12.89,77.642,1564,250000,35000,Semi Furnished,Newly Constructed,All,15-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-hosapalya-bangalore-for-rs-35000/8a9f82247631fe5201763261195223e0/detail
2, Whitefield,12.968,77.736,1195,160000,25000,Full Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-25000/ff808181695279430169549ca2897754/detail
3, Akshayanagar,12.874,77.619,1670,250000,26000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-akshayanagar-bangalore-for-rs-26000/8a9f9a8276e92f860176e9ac2f040409/detail
4, Kanakpura,12.883,77.549,2400,300000,30000,Full Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-kanakpura-bangalore-for-rs-30000/8a9fab8276e4ae480176e4f6863f030e/detail
2, Whitefield,12.99,77.717,1200,100000,20000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-20000/8a9f823e7636e5190176372b68081c8b/detail
3, Brookefield,12.964,77.728,1900,200000,35000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-brookefield-bangalore-for-rs-35000/ff8081816ca9bd5e016caaa5cff96d3a/detail
3, Garvebhavi Palya,12.891,77.638,1512,150000,38000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-garvebhavi-palya-bangalore-for-rs-38000/ff8081816ca0347b016ca348abb13f21/detail
2, Begur,12.887,77.631,700,70000,10000,UnFurnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-begur-bangalore-for-rs-10000/ff8081815e32da5a015e33225b0728e8/detail
2, Rajajinagar,12.998,77.558,1250,125000,17000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rajajinagar-bangalore-for-rs-17000/8a9f93ae74071f480174075f84fe205d/detail
2, Kadubeesanahalli,12.937,77.703,1150,100000,20000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kadubeesanahalli-bangalore-for-rs-20000/ff808181571a341c01571a5777710119/detail
3, Narayanapura,13.06,77.637,1500,180000,32000,Full Furnished,5-10 years ,Family,01-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-narayanapura-bangalore-for-rs-32000/8a9fa38276db06680176db832e5a29a7/detail
2, Jayanagar ,12.933,77.59,1000,220000,22000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-jayanagar--bangalore-for-rs-22000/ff808181682dacfb01682dcec4fb1072/detail
1, Hsr Layout,12.914,77.637,800,100000,15000,Semi Furnished,1-3 years ,Family,18-Jan-2021,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-15000/ff8081816507f64a0165089550303d16/detail
