BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
1, Banaswadi,13.007,77.645,1000,100000,10000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-banaswadi-bangalore-for-rs-10000/8a9f92d572d59ae40172d72bab2024a1/detail
3, Naagarabhaavi,12.973,77.515,2000,200000,28000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-naagarabhaavi-bangalore-for-rs-28000/8a9f923673f1ac850173f2b5d2947a0b/detail
1, Choodasandra,12.89,77.672,500,25000,6000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-choodasandra-bangalore-for-rs-6000/ff8081815ad78260015ad7d4b7eb1f0c/detail
3, Jeevan Bima Nagar,12.96,77.657,1400,100000,25000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-jeevan-bima-nagar-bangalore-for-rs-25000/8a9f910d75f539940175f5664ff70cce/detail
3, Koramangala,12.941,77.626,1800,120000,33000,Semi Furnished,5-10 years ,All,16-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-33000/ff8081816a81eb3e016a8bc9ba783187/detail
2, Jayanagar,12.919,77.596,1100,100000,12500,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-jayanagar-bangalore-for-rs-12500/8a9f9163730f26220173101b29f668b9/detail
2, Marathahalli,12.955,77.703,1185,150000,24000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-24000/8a9f933975a278940175a2dc2f84325d/detail
2, Bommanahalli,12.903,77.624,1045,75000,15000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bommanahalli-bangalore-for-rs-15000/8a9f935275ad1c200175adbbb62446f6/detail
2, Rayasandra,12.875,77.67,1245,120000,17500,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rayasandra-bangalore-for-rs-17500/8a9f92687604109c01760416596c011e/detail
1, Tejaswini Nagar,12.855,77.6,550,45000,8000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-tejaswini-nagar-bangalore-for-rs-8000/8a9f86aa6fb39abb016fb4481d231683/detail
2, Kodihalli,12.959,77.649,1170,150000,27000,Full Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kodihalli-bangalore-for-rs-27000/8a9f911d74348b2a01743e37583c2391/detail
3, Whitefield,12.98,77.753,1550,100000,21000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-21000/ff8081816ba9cdb4016babe9e11667a9/detail
3, Whitefield,12.967,77.739,1564,110000,21000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-21000/ff8081816f28c3f1016f2c625b2b6b13/detail
2, L B Shastri Nagar Road,12.968,77.674,1061,180000,20000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-l-b-shastri-nagar-road-bangalore-for-rs-20000/ff8081815ccf7d5e015ccf98cf8004a3/detail
3, Mahalakshmi Layout,13.013,77.551,1770,500000,43500,Semi Furnished,5-10 years ,Family,15-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-mahalakshmi-layout-bangalore-for-rs-43500/8a9f9333759cf80401759d2ff0fb1c21/detail
3, Bellandur,12.929,77.695,1845,150000,40000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-40000/8a9f86da7010d497017014371be96e37/detail
3, Kormangla Bangalore,12.941,77.626,1600,200000,34000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kormangla-bangalore-bangalore-for-rs-34000/8a9f924075b60b290175b61c3ea30848/detail
2, Kammanahalli,13.012,77.635,1200,100000,13000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kammanahalli-bangalore-for-rs-13000/8a9f82ac75b4afc80175b4e3973202de/detail
2, Bilekahalli,12.895,77.608,1000,150000,15500,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bilekahalli-bangalore-for-rs-15500/ff808181680f858001680f89c08700e0/detail
2, Bommanahalli,12.885,77.629,1200,50000,11500,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bommanahalli-bangalore-for-rs-11500/ff808181639778be01639aaadee56e53/detail
2, Krishnarajapura,13.005,77.73,1185,70000,17000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-krishnarajapura-bangalore-for-rs-17000/8a9f93537471c6eb017476e0f4862575/detail
2, Hbr Layout,13.038,77.635,1112,70000,17000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hbr-layout-bangalore-for-rs-17000/ff8081816de97d7a016dede599856911/detail
2, Hsr Layout,12.909,77.64,1100,150000,21000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-21000/8a9fb18e76838201017683843ca0001c/detail
3, Kormangala,12.936,77.623,1200,150000,26500,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kormangala-bangalore-for-rs-26500/8a9f923773f1ae1b0173f1b7a0d30433/detail
2, Btm 2nd Stage,12.908,77.605,1000,180000,26000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-btm-layout-2nd-stage-btm-2nd-stage-bangalore-for-rs-26000/ff8081816b744da6016b7495338938ec/detail
1, Hsr Layout,12.909,77.638,850,80000,15000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-15000/8a9f91bd739edb7c01739ef80cbb0c2e/detail
2, Chokkanahalli,13.084,77.638,1345,100000,18000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-chokkanahalli-bangalore-for-rs-18000/ff808181667e1c5f016680128a7315b3/detail
1, Vijayanagar,12.97,77.526,300,50000,6000,UnFurnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in--vijayanagar-bangalore-for-rs-6000/ff80818150f505150150fa4c0caf1afc/detail
2, Halasuru,12.976,77.621,870,150000,24800,Semi Furnished,5-10 years ,All,14-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-halasuru-bangalore-for-rs-24800/ff8081816ef48c30016efae0b5ce66ca/detail
2, Kasavanahalli,12.907,77.68,1200,125000,17500,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kasavanahalli-bangalore-for-rs-17500/8a9f93f474fe15c0017501717ef1250d/detail
2, Kalyan Nagar,13.025,77.637,950,175000,21500,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kalyan-nagar-bangalore-for-rs-21500/ff8081815239c00501523bc38e041679/detail
3, Doddakannelli,12.906,77.693,1871,250000,35000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-doddakannelli-bangalore-for-rs-35000/ff8081816db5df47016db5f332670caf/detail
2, Maruthi Sevanagar,13.002,77.63,1000,200000,24000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-maruthi-sevanagar-bangalore-for-rs-24000/8a9f92f07502c5b4017502cb033201f2/detail
3, Mahadevapura,12.991,77.687,1150,125000,22000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-22000/ff8081815a0de8ea015a1234aa2b392a/detail
3, Koti Hosahalli,13.048,77.574,1200,300000,27000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-koti-hosahalli-bangalore-for-rs-27000/8a9f91bb76191147017619d0a836394e/detail
2, Parappana Agrahara,12.886,77.657,1162,50000,15000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-parappana-agrahara-bangalore-for-rs-15000/ff8081816bb2167a016bb28b970a7e0b/detail
3, Bellandur,12.932,77.679,1830,200000,35000,UnFurnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-35000/8a9f915c7515e550017517e214d31adf/detail
1, Mahadevapura,12.977,77.693,900,100000,21000,Full Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-21000/ff80818163e04c950163e30672804c89/detail
2, Subramanyapura,12.892,77.542,800,50000,13000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-subramanyapura-bangalore-for-rs-13000/8a9f929b75732c100175737c8c292b8d/detail
2, Kengeri Hobli,12.882,77.471,883,50000,10000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kengeri-hobli-bangalore-for-rs-10000/8a9f8b53703dc18001703e3340d63349/detail
2, Kodihalli,12.964,77.648,850,150000,17000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kodihalli-bangalore-for-rs-17000/ff808181529083f9015291256e3d0608/detail
2, Ejipura,12.94,77.629,1200,150000,30000,Full Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-ejipura-bangalore-for-rs-30000/8a9f917e74c49a630174cec676df2d6f/detail
3, Brookefield,12.971,77.715,1781,200000,32000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-brookefield-bangalore-for-rs-32000/ff80818168c300890168c3ee522d4290/detail
2, Banaswadi,13.006,77.651,680,80000,13000,UnFurnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-banaswadi-bangalore-for-rs-13000/ff8081816a81eb3e016a8b9990cb1c0d/detail
2, Amba Bhavani Temple Road,13.097,77.546,650,50000,9000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-amba-bhavani-temple-road-bangalore-for-rs-9000/8a9f86ca70de649b0170e1a9ce14106d/detail
3, Arekere,12.884,77.596,1340,100000,18000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-arekere-bangalore-for-rs-18000/8a9f82d57622e9bc01762393691436db/detail
3, Choodasandra,12.887,77.681,1240,70000,23000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-choodasandra-bangalore-for-rs-23000/8a9f938e75553a0a0175554267190386/detail
1, India,12.949,77.703,950,50000,12000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-munnekollal-bengaluru-karnataka-india-bangalore-for-rs-12000/ff80818157ebea560157ec6e06f109a8/detail
3, Kadugodi,13.0,77.757,1780,150000,26000,Full Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kadugodi-bangalore-for-rs-26000/ff80808149393cef014964cc4974183e/detail
2, Kumaraswamy Layout,12.902,77.555,850,100000,14000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kumaraswamy-layout-bangalore-for-rs-14000/ff8081815761f2c40157660eacd26e9d/detail
3, Kadubeesanahalli,12.933,77.699,1750,300000,36000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kadubeesanahalli-bangalore-for-rs-36000/8a9f934e75ef6d8f0175ef85eb060827/detail
2, Yelahanka,13.139,77.57,1300,200000,23000,Semi Furnished,Newly Constructed,Family,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-yelahanka-bangalore-for-rs-23000/ff8081816ecf6623016ed0eee6be518e/detail
2, Ramamurthy Nagar,13.021,77.68,930,80000,15300,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-ramamurthy-nagar-bangalore-for-rs-15300/8a9f825a75e0347c0175e0559c6c09c8/detail
2, Maruthi Sevanagar,12.986,77.645,1100,250000,30000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-new-baiyyappanahalli-extension-maruthi-sevanagar-bangalore-for-rs-30000/ff808181618f4f1401619009c8df2645/detail
2, Banaswadi,13.011,77.655,1341,300000,28000,Semi Furnished,5-10 years ,All,20-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-banaswadi-bangalore-for-rs-28000/8a9f8cac6f5a5026016f5c28cefb4dce/detail
1, Ganganagar,13.019,77.59,550,60000,8500,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-ganganagar-bangalore-for-rs-8500/ff8081816b4b72ed016b4b8975700ecb/detail
2, Bellandur,12.923,77.674,1150,150000,23000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-23000/8a9f912573c2ccd00173c4c525fc5a71/detail
2, Varthur,12.93,77.74,1346,200000,27000,Semi Furnished,Newly Constructed,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-varthur-bangalore-for-rs-27000/ff8081816c0fc8df016c12f663b50827/detail
3, J. P. Nagar,12.905,77.58,1200,100000,13500,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-j.-p.-nagar-bangalore-for-rs-13500/ff8081815fd9146d015fd9a5b5085538/detail
3, Marathahalli,12.966,77.703,1400,100000,23500,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-marathahalli-bangalore-for-rs-23500/ff808181612cb3c701612df32cf573c2/detail
3, Akshayanagar,12.874,77.62,1500,120000,22000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-akshayanagar-bangalore-for-rs-22000/8a9f939075559935017558702391751c/detail
3, Kadabeesanahalli,12.94,77.693,1508,200000,35500,Full Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kadabeesanahalli-bangalore-for-rs-35500/8a9f928774cef08a0174cfb562be479f/detail
3, Hsr Layout,12.92,77.651,1200,200000,30000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-30000/8a9f91bb7649b39901764ac536e30f89/detail
3, Challaghatta,12.943,77.651,1650,350000,35000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-challaghatta-bangalore-for-rs-35000/8a9f96837692bab0017692ce1f290228/detail
3, Kannamangala,13.022,77.762,2020,100000,26000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kannamangala-bangalore-for-rs-26000/ff8081816ef48c30016ef504895a607b/detail
2, Whitefield,12.965,77.76,1200,100000,20000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-20000/ff80818163500c160163539295647bbf/detail
3, Bhoganhalli,12.929,77.704,1590,150000,30000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bhoganhalli-bangalore-for-rs-30000/8a9f87bd724f6af901724fee196d3564/detail
2, Hbr Layout,13.03,77.628,950,125000,17000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hbr-layout-bangalore-for-rs-17000/8a9f930975df7ab50175df8c7c1c04d2/detail
3, J. P. Nagar,12.897,77.586,1200,100000,22000,Full Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-j.-p.-nagar-bangalore-for-rs-22000/8a9f915376035f14017603aa48f918bc/detail
4, Hsr Layout,12.913,77.638,2000,400000,50000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-50000/8a9f91e773a9231e0173ad96ead716d6/detail
1, Hebbal,13.034,77.606,600,100000,11000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-kanaka-nagar-hebbal-bangalore-for-rs-11000/8a9f924c746c8d5801746d53f2887253/detail
3, Brookefield,12.965,77.722,1504,150000,26500,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-brookefield-bangalore-for-rs-26500/8a9f8262759927fd017599dba5f22e35/detail
3, Bilekahalli,12.905,77.606,1500,200000,30000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bilekahalli-bangalore-for-rs-30000/ff8081816937ad0d0169381c28383801/detail
3, Marathahalli,12.954,77.7,1500,150000,25000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-6th-cross-road-marathahalli-bangalore-for-rs-25000/ff8081815fd9146d015fdb61123929e8/detail
2, Hsr Layout,12.908,77.639,1200,150000,30000,Full Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-30000/ff8081816bea7681016bec2459d56fb5/detail
3, Electronic City Post,12.829,77.708,2070,150000,25000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-electronic-city-post-bangalore-for-rs-25000/8a9f930873d76dd30173dad87e287f0b/detail
3, Bellandur,12.923,77.673,1614,150000,28000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-28000/ff80818164556f3e0164560e0e0636bd/detail
2, Panathur,12.941,77.704,979,100000,19990,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-panathur-bangalore-for-rs-19990/8a9f82d075c0a1770175c1229e72314f/detail
3, Ulsoor,12.977,77.62,1940,300000,40000,Full Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-ulsoor-bangalore-for-rs-40000/ff8081816b36020f016b36e1c462511f/detail
2, Indira Nagar,12.969,77.65,1200,150000,23000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-indira-nagar-bangalore-for-rs-23000/ff8081816e310a8e016e35849a1a2640/detail
2, Hsr Layout,12.924,77.65,900,30000,18000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-18000/ff8081814e5cc5af014e5cff0cb30451/detail
3, Kaikondrahalli,12.916,77.676,1250,100000,24000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kaikondrahalli-bangalore-for-rs-24000/ff8081816016743901601d53271342cb/detail
2, Samruddi Layout,12.905,77.555,1200,150000,15000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-samruddi-layout-bangalore-for-rs-15000/ff8081815d4a6ea3015d4a79c9b30604/detail
3, Thubarahalli,12.955,77.717,1626,175000,27000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-thubarahalli-bangalore-for-rs-27000/8a9f93c874de98840174dfd130187ac8/detail
1, Btm Layout,12.92,77.616,600,50000,9500,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-btm-layout-bangalore-for-rs-9500/ff8081816d2dae18016d2f32f7e57200/detail
4, Hampi Nagar,12.961,77.535,4845,2000000,200000,Full Furnished,>10 years ,Company,Ready to Move,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-hampi-nagar-bangalore-for-rs-200000/ff80818158164ec00158186ae85903d6/detail
1, Banashankari,12.923,77.551,700,40000,6500,UnFurnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-bsk-3-stage-banashankari-bangalore-for-rs-6500/ff8081815f62db5b015f66d7bfe07ccb/detail
1, Hsr Layout,12.907,77.649,600,75000,14000,Full Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-14000/ff80818158b143350158c01b0c8f0722/detail
1, Basvannagar Near Bus Stand,13.016,77.709,800,100000,12000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-basvannagar-near-bus-stand-bangalore-for-rs-12000/ff8081816c4bff0c016c4d87d82c34d4/detail
3, Whitefield,12.981,77.744,1748,75000,35000,Full Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-35000/ff8081815efbafb7015efbc691d70fd1/detail
2, Pulikeshi Nagar,12.999,77.62,1150,200000,21000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-pulikeshi-nagar-bangalore-for-rs-21000/8a9fb88276894da5017689b001dd2119/detail
2, Hennur Gardens,13.036,77.643,930,140000,14000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hennur-gardens-bangalore-for-rs-14000/ff8081814cb771fb014ccc5042554460/detail
2, Padmanabhanagar,12.916,77.552,700,90000,11500,Semi Furnished,5-10 years ,Family,17-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-padmanabhanagar-bangalore-for-rs-11500/ff80818150b545ca0150b74ed4fd0bd4/detail
3, Nagavara,13.04,77.612,2566,300000,40000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-nagavara-bangalore-for-rs-40000/8a9f93dd74e4898e0174e8ad118d07bd/detail
1, Mcc Meenakshi Enclave,12.938,77.752,600,40000,8500,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-mcc-meenakshi-enclave-bangalore-for-rs-8500/8a9f8a027028d12301702ada8736751a/detail
1, Mcc Meenakshi Enclave,12.938,77.752,600,40000,8500,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-mcc-meenakshi-enclave-bangalore-for-rs-8500/8a9f8a027028d12301702ada8736751a/detail
2, Aecs Layout - D Block,12.962,77.712,1200,100000,19000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-aecs-layout---d-block-bangalore-for-rs-19000/8a9f9360754058c9017540cb11f135b0/detail
3, Cil Layout,13.036,77.601,1164,200000,23000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-cil-layout-bangalore-for-rs-23000/8a9f93c874de98840174dec37a2612bb/detail
3, Kammanahalli,13.016,77.638,1200,216000,26000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kammanahalli-bangalore-for-rs-26000/ff808181564f132601564f1643a7009e/detail
2, Mahadevapura,12.989,77.702,1255,100000,18000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-18000/ff8081816633ee9d01663512ac043163/detail
3, Hoodi,12.988,77.728,1670,250000,25000,Semi Furnished,5-10 years ,Family,15-Feb-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-hoodi-bangalore-for-rs-25000/ff80818157e227910157e69a7e626b8c/detail
2, Kannuru,13.084,77.655,1600,80000,11900,Semi Furnished,Newly Constructed,Family,15-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kannuru-bangalore-for-rs-11900/ff808181672a6c3b01672a6ecd430119/detail
2, Doddakannelli,12.912,77.701,1350,150000,18000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-doddakannelli-bangalore-for-rs-18000/8a9f91f272cc40520172d166960f580e/detail
3, Hoodi,12.985,77.712,1470,200000,28000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-hoodi-bangalore-for-rs-28000/8a9f93f37612302a01761265053c0d3b/detail
3, Kada Agrahara,12.863,77.773,1333,150000,15000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kada-agrahara-bangalore-for-rs-15000/ff808181635e099501635ee76a1c1d5c/detail
2, Yeshwanthpur,13.026,77.548,1100,150000,25500,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-yeshwanthpur-bangalore-for-rs-25500/8a9f82fe750c532101750c75d4dd10bd/detail
3, Bellandur,12.916,77.692,1540,150000,33000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-33000/8a9f923e738545ce017386b50fac1f84/detail
2, Nagarbhavi,12.972,77.507,1100,150000,16000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-nagarbhavi-bangalore-for-rs-16000/8a9f9330761a1be601761d1b75c35ffa/detail
1, Kammanahalli,13.013,77.635,650,65000,10000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-kammanahalli-bangalore-for-rs-10000/ff8081816932588d016932bcdba229bd/detail
2, Hbr Layout,13.031,77.631,1200,200000,22000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hbr-layout-4th-block-hbr-layout-bangalore-for-rs-22000/ff80818154673c8e01546ca23253445a/detail
